Semana,Nescafé: (São Paulo),Dolce Gusto: (São Paulo),Café: (São Paulo),Café solúvel: (São Paulo),Cafeteira: (São Paulo)
2022-12-04,1,25,67,1,30
2022-12-11,1,25,69,1,32
2022-12-18,1,27,66,1,32
2022-12-25,1,23,67,1,31
2023-01-01,1,26,82,2,35
2023-01-08,1,28,84,2,35
2023-01-15,1,22,79,1,31
2023-01-22,1,22,83,1,31
2023-01-29,1,23,86,1,30
2023-02-05,1,26,83,1,33
2023-02-12,1,22,82,2,29
2023-02-19,1,22,81,2,32
2023-02-26,1,22,84,2,35
2023-03-05,1,22,86,1,29
2023-03-12,1,25,84,1,31
2023-03-19,1,23,85,2,28
2023-03-26,1,24,79,1,28
2023-04-02,1,24,80,1,30
2023-04-09,1,27,92,2,33
2023-04-16,1,29,91,2,34
2023-04-23,1,28,90,2,34
2023-04-30,1,31,93,2,37
2023-05-07,1,34,100,2,40
2023-05-14,1,35,93,2,39
2023-05-21,1,33,99,2,37
2023-05-28,2,34,95,3,36
2023-06-04,1,31,96,2,36
2023-06-11,1,32,93,2,39
2023-06-18,1,35,90,3,36
2023-06-25,1,31,93,2,36
2023-07-02,1,31,90,2,40
2023-07-09,1,31,89,2,36
2023-07-16,1,31,89,2,38
2023-07-23,2,28,91,2,35
2023-07-30,1,29,89,2,34
2023-08-06,1,27,92,2,38
2023-08-13,1,26,80,2,34
2023-08-20,1,25,86,2,31
2023-08-27,1,27,84,2,37
2023-09-03,1,23,81,1,31
2023-09-10,1,24,79,1,31
2023-09-17,1,19,75,1,26
2023-09-24,1,17,73,2,24
2023-10-01,1,22,70,1,26
2023-10-08,1,24,74,2,28
2023-10-15,1,24,79,2,29
2023-10-22,1,22,77,2,28
2023-10-29,1,26,77,2,31
2023-11-05,1,30,74,1,32
2023-11-12,1,29,67,1,27
2023-11-19,1,47,77,1,44
2023-11-26,1,36,74,1,43
2023-12-03,1,25,70,1,30
2023-12-10,1,25,77,1,32
2023-12-17,1,24,67,1,29
2023-12-24,1,23,67,1,30
2023-12-31,1,22,88,1,31
2024-01-07,1,23,93,2,33
2024-01-14,1,21,85,2,30
2024-01-21,1,23,87,2,34
2024-01-28,1,23,78,2,31
2024-02-04,1,23,78,2,29
2024-02-11,1,19,76,2,28
2024-02-18,1,21,82,2,28
2024-02-25,1,20,74,2,26
2024-03-03,1,20,76,1,26
2024-03-10,1,21,76,2,27
2024-03-17,1,18,70,2,24
2024-03-24,1,22,75,2,26
2024-03-31,1,20,75,2,28
2024-04-07,1,19,84,1,31
2024-04-14,1,21,85,2,30
2024-04-21,1,20,88,2,32
2024-04-28,1,21,90,2,31
2024-05-05,1,26,93,2,35
2024-05-12,1,24,84,2,34
2024-05-19,1,26,89,2,32
2024-05-26,2,30,83,2,36
2024-06-02,2,29,87,2,36
2024-06-09,2,28,90,2,38
2024-06-16,1,26,84,2,35
2024-06-23,1,21,78,2,30
2024-06-30,2,28,86,2,35
2024-07-07,1,30,91,2,38
2024-07-14,1,29,93,2,39
2024-07-21,2,26,89,2,36
2024-07-28,1,26,84,2,35
2024-08-04,1,24,86,2,33
2024-08-11,1,27,86,2,36
2024-08-18,1,22,81,2,29
2024-08-25,1,25,86,2,31
2024-09-01,1,21,86,2,29
2024-09-08,1,20,82,1,27
2024-09-15,1,20,86,2,31
2024-09-22,1,15,85,1,24
2024-09-29,1,17,82,2,25
2024-10-06,1,17,74,1,24
2024-10-13,1,18,79,1,28
2024-10-20,1,19,77,2,27
2024-10-27,1,20,82,2,30
2024-11-03,1,26,81,2,31
2024-11-10,1,26,82,2,39
2024-11-17,1,28,77,2,36
2024-11-24,1,40,87,2,48
2024-12-01,1,25,81,1,34
