Semana,Chá: (São Paulo),Receita: (São Paulo),Supermercado: (São Paulo),Cozinhar: (São Paulo)
2022-12-04,9,55,21,3
2022-12-11,9,61,16,3
2022-12-18,8,100,24,4
2022-12-25,9,90,26,4
2023-01-01,11,64,19,3
2023-01-08,11,60,15,4
2023-01-15,11,61,14,4
2023-01-22,11,64,16,4
2023-01-29,14,58,17,4
2023-02-05,11,58,16,4
2023-02-12,11,57,15,3
2023-02-19,12,64,18,4
2023-02-26,11,61,16,4
2023-03-05,10,63,15,3
2023-03-12,10,66,15,3
2023-03-19,11,63,15,3
2023-03-26,11,63,16,3
2023-04-02,10,72,24,4
2023-04-09,11,54,15,3
2023-04-16,12,63,17,4
2023-04-23,12,62,16,4
2023-04-30,11,63,20,4
2023-05-07,11,64,16,4
2023-05-14,12,64,14,4
2023-05-21,13,75,14,4
2023-05-28,13,78,15,4
2023-06-04,13,65,17,4
2023-06-11,12,69,13,5
2023-06-18,13,72,15,4
2023-06-25,13,72,15,4
2023-07-02,13,67,16,4
2023-07-09,12,60,15,4
2023-07-16,11,61,14,4
2023-07-23,11,61,15,4
2023-07-30,11,60,16,3
2023-08-06,10,55,14,3
2023-08-13,10,54,14,3
2023-08-20,11,59,14,3
2023-08-27,11,59,15,3
2023-09-03,10,56,18,3
2023-09-10,10,54,15,3
2023-09-17,9,53,15,3
2023-09-24,8,56,15,3
2023-10-01,9,51,15,3
2023-10-08,9,56,17,3
2023-10-15,9,54,14,3
2023-10-22,9,53,14,3
2023-10-29,9,52,18,3
2023-11-05,8,48,14,3
2023-11-12,7,47,16,3
2023-11-19,7,49,17,3
2023-11-26,7,49,15,3
2023-12-03,7,50,16,3
2023-12-10,8,57,15,3
2023-12-17,7,74,21,3
2023-12-24,8,94,30,4
2023-12-31,8,70,23,4
2024-01-07,8,56,15,3
2024-01-14,9,58,15,3
2024-01-21,8,61,14,4
2024-01-28,8,56,15,3
2024-02-04,8,51,15,3
2024-02-11,8,54,16,3
2024-02-18,8,54,13,3
2024-02-25,8,53,14,3
2024-03-03,7,51,13,3
2024-03-10,7,56,14,3
2024-03-17,7,57,14,3
2024-03-24,8,64,20,4
2024-03-31,8,50,15,3
2024-04-07,8,51,13,3
2024-04-14,8,51,14,3
2024-04-21,9,53,12,3
2024-04-28,8,52,17,3
2024-05-05,8,52,14,3
2024-05-12,8,54,12,3
2024-05-19,8,62,12,3
2024-05-26,9,68,14,4
2024-06-02,9,56,13,3
2024-06-09,8,55,11,3
2024-06-16,9,57,11,3
2024-06-23,9,57,12,3
2024-06-30,9,53,13,3
2024-07-07,9,60,14,4
2024-07-14,9,58,13,3
2024-07-21,8,56,13,3
2024-07-28,8,54,14,3
2024-08-04,8,49,13,3
2024-08-11,8,51,13,3
2024-08-18,9,52,12,3
2024-08-25,9,53,13,3
2024-09-01,8,48,16,3
2024-09-08,7,46,13,3
2024-09-15,8,49,12,3
2024-09-22,7,49,13,3
2024-09-29,7,49,12,3
2024-10-06,7,43,14,3
2024-10-13,7,51,13,3
2024-10-20,8,48,13,3
2024-10-27,8,51,14,3
2024-11-03,8,47,13,3
2024-11-10,8,49,14,3
2024-11-17,8,46,13,3
2024-11-24,8,44,14,3
2024-12-01,8,41,13,3
