Semana,Sorvete: (São Paulo),Gelado: (São Paulo),Picolé: (São Paulo),Frutas: (São Paulo),Mousse: (São Paulo)
2022-12-04,48,11,2,25,15
2022-12-11,49,13,2,28,16
2022-12-18,75,27,1,46,70
2022-12-25,81,28,1,39,72
2023-01-01,45,11,2,25,17
2023-01-08,44,10,1,25,14
2023-01-15,56,13,2,25,14
2023-01-22,59,12,2,27,15
2023-01-29,51,11,2,28,13
2023-02-05,45,10,2,25,13
2023-02-12,47,11,2,25,13
2023-02-19,53,12,2,25,17
2023-02-26,48,11,2,26,14
2023-03-05,43,10,2,24,13
2023-03-12,40,10,2,26,14
2023-03-19,50,12,2,27,15
2023-03-26,48,11,2,26,14
2023-04-02,40,12,2,25,25
2023-04-09,28,9,1,25,12
2023-04-16,33,10,1,25,13
2023-04-23,29,9,1,24,12
2023-04-30,35,10,1,29,14
2023-05-07,34,11,1,25,17
2023-05-14,31,10,1,24,16
2023-05-21,34,10,2,25,13
2023-05-28,32,9,1,23,12
2023-06-04,34,10,1,25,14
2023-06-11,28,9,1,24,12
2023-06-18,29,10,1,24,11
2023-06-25,30,9,1,26,13
2023-07-02,29,9,1,24,14
2023-07-09,30,9,1,24,13
2023-07-16,29,8,1,27,14
2023-07-23,32,9,1,25,13
2023-07-30,33,9,1,24,12
2023-08-06,43,10,1,26,15
2023-08-13,33,9,1,24,14
2023-08-20,43,10,2,27,13
2023-08-27,35,9,2,25,12
2023-09-03,51,11,2,26,14
2023-09-10,50,11,2,27,13
2023-09-17,75,16,3,28,13
2023-09-24,87,21,4,28,12
2023-10-01,45,10,2,26,12
2023-10-08,47,11,2,24,13
2023-10-15,38,10,2,26,11
2023-10-22,41,10,2,27,13
2023-10-29,40,10,2,26,14
2023-11-05,49,12,2,26,12
2023-11-12,100,38,4,31,15
2023-11-19,50,15,2,26,13
2023-11-26,42,10,2,25,12
2023-12-03,59,15,2,27,14
2023-12-10,51,13,2,30,17
2023-12-17,64,19,2,39,33
2023-12-24,81,27,2,44,76
2023-12-31,53,17,2,29,36
2024-01-07,50,13,2,25,13
2024-01-14,53,14,3,28,12
2024-01-21,37,10,1,24,12
2024-01-28,35,9,1,25,10
2024-02-04,37,10,2,26,10
2024-02-11,45,11,2,27,13
2024-02-18,31,9,2,26,11
2024-02-25,40,10,2,30,10
2024-03-03,39,10,1,24,10
2024-03-10,43,12,2,25,11
2024-03-17,40,12,2,27,10
2024-03-24,30,9,1,24,18
2024-03-31,30,8,1,26,10
2024-04-07,34,8,1,26,10
2024-04-14,29,8,1,25,10
2024-04-21,30,9,1,26,11
2024-04-28,40,10,2,28,12
2024-05-05,35,10,2,25,13
2024-05-12,31,9,1,23,12
2024-05-19,29,9,1,24,10
2024-05-26,24,9,1,23,10
2024-06-02,26,7,1,22,9
2024-06-09,28,8,1,27,10
2024-06-16,27,8,1,24,9
2024-06-23,29,8,1,24,9
2024-06-30,28,7,1,22,10
2024-07-07,27,9,1,21,10
2024-07-14,27,8,1,22,11
2024-07-21,30,8,1,22,12
2024-07-28,28,8,1,22,10
2024-08-04,29,8,1,22,13
2024-08-11,30,9,1,23,12
2024-08-18,33,9,1,27,12
2024-08-25,29,9,2,24,11
2024-09-01,36,9,2,25,11
2024-09-08,46,11,2,27,12
2024-09-15,32,8,1,24,10
2024-09-22,54,12,2,26,11
2024-09-29,42,10,2,25,10
2024-10-06,35,8,2,23,10
2024-10-13,35,9,2,23,10
2024-10-20,34,9,2,26,10
2024-10-27,30,8,2,26,11
2024-11-03,28,7,1,24,9
2024-11-10,33,8,1,26,12
2024-11-17,38,8,2,27,11
2024-11-24,40,10,2,27,10
2024-12-01,37,8,1,26,11
