Semana,bolo: (São Paulo),chocolate: (São Paulo),doce: (São Paulo),pizza: (São Paulo),sobremesa: (São Paulo)
2022-12-04,72,32,32,19,5
2022-12-11,74,38,34,22,7
2022-12-18,75,55,45,20,24
2022-12-25,71,45,45,23,22
2023-01-01,79,31,35,26,4
2023-01-08,87,33,35,23,3
2023-01-15,86,32,35,21,3
2023-01-22,88,34,36,21,3
2023-01-29,84,32,36,20,3
2023-02-05,81,32,35,19,3
2023-02-12,89,33,34,19,3
2023-02-19,100,37,39,24,3
2023-02-26,83,35,35,20,3
2023-03-05,85,40,32,20,3
2023-03-12,82,43,36,19,3
2023-03-19,82,45,35,20,3
2023-03-26,82,54,32,19,3
2023-04-02,82,84,38,21,6
2023-04-09,70,44,30,20,3
2023-04-16,90,36,36,22,3
2023-04-23,86,36,34,20,3
2023-04-30,90,37,35,23,3
2023-05-07,87,36,37,19,5
2023-05-14,87,37,38,20,3
2023-05-21,93,39,38,21,3
2023-05-28,96,41,39,21,3
2023-06-04,97,42,42,24,3
2023-06-11,88,48,43,23,3
2023-06-18,99,45,44,21,3
2023-06-25,100,39,45,22,3
2023-07-02,93,40,43,25,3
2023-07-09,90,36,39,28,3
2023-07-16,93,38,39,23,3
2023-07-23,86,36,37,22,3
2023-07-30,84,32,36,22,3
2023-08-06,78,32,35,19,4
2023-08-13,77,33,35,19,4
2023-08-20,83,31,34,19,3
2023-08-27,87,36,36,21,3
2023-09-03,82,32,35,23,4
2023-09-10,76,30,33,20,3
2023-09-17,68,27,31,18,3
2023-09-24,67,26,29,19,3
2023-10-01,76,29,32,21,3
2023-10-08,85,34,34,23,3
2023-10-15,74,32,32,19,3
2023-10-22,77,28,31,20,3
2023-10-29,79,31,35,23,3
2023-11-05,62,28,32,17,3
2023-11-12,58,25,29,18,4
2023-11-19,71,31,32,22,4
2023-11-26,62,31,30,18,4
2023-12-03,60,32,32,20,4
2023-12-10,61,37,34,21,6
2023-12-17,55,44,37,20,13
2023-12-24,60,45,42,22,20
2023-12-31,64,32,36,22,9
2024-01-07,69,28,35,21,3
2024-01-14,72,28,35,21,3
2024-01-21,84,34,37,21,3
2024-01-28,69,30,35,19,2
2024-02-04,62,28,31,18,2
2024-02-11,73,32,34,23,3
2024-02-18,68,32,32,19,2
2024-02-25,63,34,31,19,2
2024-03-03,64,37,29,19,2
2024-03-10,62,38,30,18,2
2024-03-17,61,43,29,19,2
2024-03-24,64,72,35,21,4
2024-03-31,52,34,29,17,2
2024-04-07,59,26,28,19,2
2024-04-14,64,29,32,19,2
2024-04-21,65,27,33,19,2
2024-04-28,65,28,32,21,2
2024-05-05,60,27,32,18,3
2024-05-12,62,26,31,17,3
2024-05-19,68,30,36,19,2
2024-05-26,77,44,38,24,3
2024-06-02,67,32,37,20,2
2024-06-09,70,32,37,22,3
2024-06-16,71,27,35,19,2
2024-06-23,71,28,36,19,2
2024-06-30,73,33,35,21,2
2024-07-07,78,38,38,31,3
2024-07-14,73,33,36,23,2
2024-07-21,72,33,32,21,3
2024-07-28,66,30,32,20,2
2024-08-04,65,30,31,20,3
2024-08-11,66,33,29,19,3
2024-08-18,63,29,30,19,2
2024-08-25,72,33,32,20,2
2024-09-01,63,27,30,19,3
2024-09-08,59,26,31,20,2
2024-09-15,66,28,31,19,2
2024-09-22,60,26,31,20,2
2024-09-29,58,27,30,19,2
2024-10-06,58,26,30,19,2
2024-10-13,64,28,30,18,2
2024-10-20,64,28,31,18,3
2024-10-27,65,29,32,18,3
2024-11-03,60,29,30,17,3
2024-11-10,68,30,30,19,3
2024-11-17,60,30,31,18,4
2024-11-24,50,28,28,17,3
2024-12-01,48,31,29,17,4
