Semana,Nesfit: (São Paulo),Negresco: (São Paulo),Passatempo: (São Paulo),Molico: (São Paulo),Galak: (São Paulo)
2022-12-04,23,57,67,62,21
2022-12-11,23,37,80,45,26
2022-12-18,27,73,71,42,37
2022-12-25,21,68,69,37,30
2023-01-01,31,34,67,37,0
2023-01-08,46,60,52,58,20
2023-01-15,39,40,69,45,22
2023-01-22,34,47,79,64,17
2023-01-29,36,39,74,60,19
2023-02-05,43,43,69,54,17
2023-02-12,32,61,83,59,25
2023-02-19,27,49,69,51,25
2023-02-26,29,51,84,59,19
2023-03-05,32,52,64,57,26
2023-03-12,33,40,57,46,32
2023-03-19,35,51,78,49,30
2023-03-26,24,53,85,53,54
2023-04-02,28,91,58,65,83
2023-04-09,31,71,69,58,53
2023-04-16,23,40,74,39,35
2023-04-23,27,63,79,47,51
2023-04-30,19,63,74,48,32
2023-05-07,36,55,56,54,32
2023-05-14,32,46,74,51,36
2023-05-21,23,52,89,68,35
2023-05-28,31,48,80,47,40
2023-06-04,24,44,73,58,30
2023-06-11,19,48,82,48,35
2023-06-18,27,45,58,47,37
2023-06-25,32,61,71,49,40
2023-07-02,31,62,60,80,34
2023-07-09,20,61,53,58,33
2023-07-16,32,54,68,58,27
2023-07-23,34,51,73,54,37
2023-07-30,31,53,61,62,37
2023-08-06,27,58,72,54,37
2023-08-13,27,45,77,60,36
2023-08-20,16,43,77,48,36
2023-08-27,18,57,65,50,43
2023-09-03,22,64,57,58,29
2023-09-10,32,61,63,70,35
2023-09-17,25,35,72,43,29
2023-09-24,21,45,53,60,27
2023-10-01,27,39,71,45,28
2023-10-08,0,41,81,31,26
2023-10-15,26,41,60,42,34
2023-10-22,22,52,57,54,25
2023-10-29,25,41,70,51,22
2023-11-05,0,46,65,48,33
2023-11-12,16,35,55,33,24
2023-11-19,15,47,64,46,38
2023-11-26,13,49,57,33,29
2023-12-03,23,39,68,44,31
2023-12-10,17,46,58,34,34
2023-12-17,17,57,58,49,40
2023-12-24,28,83,73,27,29
2023-12-31,24,40,62,47,18
2024-01-07,28,42,49,41,34
2024-01-14,21,47,60,48,26
2024-01-21,26,45,69,46,27
2024-01-28,33,55,58,39,26
2024-02-04,19,52,76,66,26
2024-02-11,15,59,64,39,32
2024-02-18,28,58,78,55,37
2024-02-25,21,64,81,53,35
2024-03-03,22,51,74,52,35
2024-03-10,29,55,75,44,38
2024-03-17,0,57,82,51,50
2024-03-24,19,100,84,35,87
2024-03-31,15,64,72,49,58
2024-04-07,26,48,72,40,34
2024-04-14,28,48,58,44,20
2024-04-21,0,45,77,46,28
2024-04-28,23,41,68,49,20
2024-05-05,20,44,49,47,22
2024-05-12,23,45,70,54,27
2024-05-19,20,32,57,56,34
2024-05-26,22,47,50,61,26
2024-06-02,18,54,64,38,37
2024-06-09,28,37,72,49,20
2024-06-16,21,45,46,64,24
2024-06-23,16,36,59,63,26
2024-06-30,18,41,64,70,31
2024-07-07,20,49,71,59,33
2024-07-14,15,43,61,78,28
2024-07-21,0,59,61,53,23
2024-07-28,27,36,60,57,31
2024-08-04,14,62,62,52,15
2024-08-11,39,36,82,56,27
2024-08-18,31,38,53,52,22
2024-08-25,23,37,64,51,25
2024-09-01,29,44,72,57,19
2024-09-08,0,48,63,54,27
2024-09-15,15,32,71,49,23
2024-09-22,23,34,75,52,0
2024-09-29,26,54,66,64,20
2024-10-06,0,35,64,60,21
2024-10-13,19,41,66,53,28
2024-10-20,28,49,67,52,26
2024-10-27,23,42,63,67,30
2024-11-03,0,45,65,60,26
2024-11-10,19,54,67,68,24
2024-11-17,2,39,58,46,3
2024-11-24,17,36,59,58,25
2024-12-01,17,42,60,50,25
