date,temperature,humidity,feels_like,pressure,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather_description,sunrise,sunset
2020-12-04,296.83,69,297.06,1014,290.81,,0,10000.0,5.7,320,haze,2020-12-03 08:11:48,2020-12-03 21:41:38
2020-12-05,295.83,73,296.06,1018,290.74,,75,8000.0,3.6,140,broken clouds,2020-12-04 08:11:55,2020-12-04 21:42:19
2020-12-06,293.83,77,293.96,1019,289.66,,75,10000.0,4.6,120,mist,2020-12-05 08:12:03,2020-12-05 21:43:00
2020-12-07,292.83,88,293.15,1016,290.79,,100,10000.0,4.1,90,heavy intensity rain,2020-12-06 08:12:13,2020-12-06 21:43:40
2020-12-08,293.83,88,294.25,1015,291.77,,75,10000.0,1.5,140,moderate rain,2020-12-07 08:12:24,2020-12-07 21:44:19
2020-12-09,293.83,83,294.12,1015,290.84,,75,8000.0,3.6,140,broken clouds,2020-12-08 08:12:37,2020-12-08 21:44:59
2020-12-10,293.83,73,293.86,1015,288.82,,40,10000.0,4.6,110,haze,2020-12-09 08:12:51,2020-12-09 21:45:37
2020-12-11,293.83,73,293.86,1015,288.82,,0,10000.0,4.6,140,clear sky,2020-12-10 08:13:06,2020-12-10 21:46:15
2020-12-12,293.83,83,294.12,1016,290.84,,75,7000.0,3.6,40,haze,2020-12-11 08:13:22,2020-12-11 21:46:53
2020-12-13,296.83,73,297.16,1016,291.71,,0,10000.0,2.1,90,moderate rain,2020-12-12 08:13:40,2020-12-12 21:47:29
2020-12-14,296.98,72,297.3,1014,291.63,,0,10000.0,2.6,350,clear sky,2020-12-13 08:13:59,2020-12-13 21:48:05
2020-12-15,298.83,66,299.18,1013,292.0,,40,10000.0,3.1,160,thunderstorm,2020-12-14 08:14:19,2020-12-14 21:48:41
2020-12-16,294.83,83,295.22,1014,291.82,,75,10000.0,4.6,210,thunderstorm,2020-12-15 08:14:41,2020-12-15 21:49:15
2020-12-17,295.68,81,296.1,1015,292.26,,0,10000.0,2.6,70,clear sky,2020-12-16 08:15:03,2020-12-16 21:49:49
2020-12-18,295.06,86,295.55,1014,292.61,,100,6000.0,1.5,240,moderate rain,2020-12-17 08:15:27,2020-12-17 21:50:22
2020-12-19,294.84,83,295.23,1011,291.83,,75,10000.0,2.6,170,broken clouds,2020-12-18 08:15:52,2020-12-18 21:50:55
2020-12-20,299.83,65,301.15,1010,292.71,,0,10000.0,2.1,270,haze,2020-12-19 08:16:18,2020-12-19 21:51:26
2020-12-21,295.84,88,296.46,1013,293.75,,0,10000.0,2.6,240,clear sky,2020-12-20 08:16:45,2020-12-20 21:51:56
2020-12-22,294.84,88,295.36,1015,292.77,,100,10000.0,2.6,170,light rain,2020-12-21 08:17:14,2020-12-21 21:52:26
2020-12-23,291.67,81,291.69,1016,288.35,,100,8000.0,5.1,110,overcast clouds,2020-12-22 08:17:43,2020-12-22 21:52:54
2020-12-24,292.65,72,292.54,1016,287.47,,75,8000.0,5.7,110,broken clouds,2020-12-23 08:18:13,2020-12-23 21:53:22
2020-12-25,291.64,74,291.48,1016,286.92,,75,10000.0,6.2,140,broken clouds,2020-12-24 08:18:45,2020-12-24 21:53:48
2020-12-26,291.75,78,291.7,1015,287.84,,75,10000.0,5.7,140,haze,2020-12-25 08:19:17,2020-12-25 21:54:13
